DONOR,USD
terra18lvnhs0lth4g6y3yffgluzh6wn5qrndnwuaurz,86084.210332695
terra1r59snugfm3gxjas565jf5ehw54junlfpmspjan,60945.461711214
terra1qzpww3mw0t9aep0x6ksf7nfsvhk3tjy7xt65g7,48695.581785891
terra1gvrggs8rukmg37p35mp773mrvfeklhwwa57x0j,47826.846599837
terra1fj5l3wldse6n8tzs4f4eh777dhplzfr0gaczhm,32360.09811912
terra1ny8racs0ysgxv2x07kfcg0x4rd4xsetcm5cyjg,30033.60627842
terra13ed80hm5ay0c2fjcwstg6ca7973w2wz85fffqp,24813.793725
terra1g0uzl468etgkx0gkts42mg7ly6waqkemw89lsh,24287.384850891
terra1xh33gujaurm2lrvxvve8s65jz5dydl8pp3kype,22374.158641482
terra1suygcd3r636scvclqm08euwaemdrmrwxl06z0v,20962.187799121
terra1d6hk4llfcpal0kjqvrv5d50janwkmvpld20d8y,14999.814077255
terra17kq5kn6yywqmq59plalhp37dx957kxqnzk6w83,10000.300856227
terra12hx6vl5tu5m9rhuru5akl4xc9ued6cslxudnwc,8504.789936649
terra1dec480gsqhsymglzjpxl8uw70rgn7ldhr3q9w5,5250.991395026
terra1ld7v4ltkfldlexvcxased7fxr6evffv2k4du0s,4594.509914115
terra103f5tyvr9cvd8pf592j0qrmyz0hsh6c38hl8ac,3889.435647308
terra1dpvdxnpzc9hnfxmz0f0avqvxg9jwnvc9qgsxut,3668.213796672
terra15vx0jsgn9c4kdxjrdzyr0r892qprzk7qhq7s76,2837.752792203
terra137fhf7hrl4m7t9zn5y8lkdj32r4qphqh7z4gms,2056.451527356
terra1nwwdjl39cgvwy7r3xwqc36wmj5ywx2w47xcmz8,1997.389238799
terra1h5qs243yv5n3g7uq0z29z3s26uwmdw4x3u3sxj,1751.415287244
terra1y75ggqe573cywjtmgugdx36c5ywxjq3ym86wj2,1740.811759572
terra1ept0znen0dk96wufj8qa85jwuwhvrw4yjkukqu,1595.85953553
terra162cxa76zpvag4a05da0yhu69awfy35w8pws625,1545.54087966
terra190wnzv2gswsete422xq8jzz6dz3py9e9vjkrmt,1225.755406336
terra1alpf6snw2d76kkwjv3dp4l7pcl6cn9uytq89zk,1130.00399324
terra193hztt08y073xsuc447f2tnhdhvkkl74mr6kv6,1110.656734411
terra12zzy0u04epgr4p8627cv4tdsu08muj2ag9x7r5,1099.137355111
terra15j9vg7ggc3ydreqhlvyk3su5jh8t2x8husk0nf,1080.241955276
terra13kg23lky52qu7vndtpwak23g535hw6zcghq8jg,1079.301915725
terra1wx60k9z8rd624eku9ftwwq9eslyagphghvwlzg,840.250436515
terra1dsea8f7pv3g6kulc04lg4lz9q56ahdqtll8pax,679.078075188
terra1pa2ax82rdv2fqcsctdzwe9mlhmjsqz3rv609gd,599.686468899
terra19vmgfrn36yr44afxgpjrt58sz8s7x9sc4tgeyk,519.671201419
terra13yxhrk08qvdf5zdc9ss5mwsg5sf7zva9xrgwgc,506.36712645
terra1dvltwrt2kgh7tylsdhcdd0xwu8tzfsrq80fzw7,505.441356511
terra1kcevvsajax5tv5nmd96lr4wulnska64l9ukv9y,501.307281105
terra1eqtgyy9ypywtyttf8jeknu3akhk7q2pxktul3y,501.016420987
