PROVIDER,LP,PROVIDED_LP_TOKENS,WITHDRAWN_LP_TOKENS,BALANCE
terra1p7fjmrnju86kpgk5nr2kpw4kvwa0vxagfek5vn,luna-aust,93495550,46624000,46871550
terra1c9ac68cfha86xwhmyxpwm9f3wd4d8nqcttuec4,loop-ust,15998708,15998000,708
terra1tk280apkxu7dryjqjxjxn49n3h56uwzlv464f4,loop-ust,28263671,28263000,671
terra1tmfe2fwrj93myk2kwds8x7pr0ztvdgppnlcz0v,loop-luna,321009632,321009000,632
terra1sxkjf4vl8n5acmz3gh56x0aqxy8vs3u0jxugys,loop-ust,3180309,3180000,309
terra1ps595eyac2395ynet2u48r22gyqrc3ukjcdyg6,loop-ust,2497670778,2497670000,778
terra1gmnhqs9fgykhzrx44p0a0g85cs0nldctqrsmts,loop-loopr,361496531,361496000,531
terra10cpeejd9gkvtdqhj2lwjptk3wyj04yfjql9kqf,loop-loopr,31937546796,31937546000,796
terra1d6fq37wrn99fvrpp7t65thuld9y4dn72lzuz8v,loop-ust,25572446,25572000,446
terra16dp0yt6u08dqmx2v92g5v3qptwds2rml8cyxa0,anc-ust,135379672,135379000,672
terra16hzxvwy9n2a07qffkxgyxq9lczp77wyzppnsy7,loop-loopr,292512990,219385000,73127990
terra1crks4043h59pgjdtcr3lrjcm4lpeczatxq0lr4,loop-ust,83343216,83343000,216
terra19g4wg68p052vyezqxsjuyxfhf8maz3jhamh0as,mir-ust,125534463,125534000,463
terra1cna8789dsynsh5y9uh077zl7690aa8aj44gk59,loop-anc,94219117,94219000,117
terra1d5hgpypn0qg8dp8yyw8x377x9gageyfphje5z0,loop-ust,3670294,3670000,294
terra14l4p4jwxzrgggrn8lertwczvecrj82eydt0c92,loop-loopr,12570949,12570000,949
terra19erxpg9zvsmptqalsmvwrsmuquk55luzynsl7r,loop-ust,86922352,86922000,352
terra1qyvggu06acpsu7m3qk4wz7qmq0wffxcgtjx7up,loop-anc,8395557,8395000,557
terra1nd5zvhhtk5trvnkcme8w5vf8ekwe26jxmaw59x,luna-ust,255632011,255632000,11
terra1t22r3mmpcexxx3lhtf9rmxanhcjmn9k4udgnn9,loopr-ust,13890877,13890000,877
terra1n0ts47c4xvgvk5spearz9pmvl02jfr0glw3grz,loop-ust,18218811,18218000,811
terra19x9fm625wr0aalhjhmlpnqjht35fkkays40ajk,mine-ust,4155082027,4155082000,27
terra12mygjtxrc3ujtmu5rz99nesjn7qv4e8mknfyln,loop-ust,9717168,9717000,168
terra1svvv88jtkhyqxcmcwyhn6snp4sk9s8c4y63py0,loopr-ust,5354194233,5354194000,233
terra1r4he2ynwtkhm83aqc7lej0s2mtuy392960dthn,loopr-ust,337023768,337023000,768
terra16xvl3097ujvn3cmtqj32nqk4drjlw474ktz3au,loop-ust,2821860,2821000,860
terra1erzvxa0egfa4axezc88kgwsfsqq6uv00sqf9fs,loop-ust,261984636,261984000,636
terra1n2qlmg79detql8d7ttp8fx8dk55m5dm4ed63tl,loopr-ust,804746031,804000000,746031
terra19mqt5xxtsplhkgk067zec83mq20qydfn3e7mzy,loop-ust,159411256,159411000,256
terra1l2nnyq5skkkryj2h4r7dadwzsynq72um5gw6qg,loop-loopr,8226337948,8226337000,948
terra1l9pefmcx0x68d9crpg8kyrxa5qg7auuxny92sr,loop-ust,237120696,237120000,696
terra1cw4n0jn9fwke873y08j93pkpe34uttn0ws64am,loop-ust,36935240,36935000,240
terra197w7c85gcsv7jck79s9rhfqr75vzqs92jstd69,loop-ust,744824034,744824000,34
terra18cqee39gu7mwvxuu9e7rsny4lym5c7hq83fcaq,loop-loopr,4378464966,4378464000,966
terra1y4mqhl9wgw4h7ltzvqgpj2lfy8pwku8j4x9549,loop-ust,6399857,6000000,399857
terra1wu2c8nnvl3lrhtvgq5cxs85ds23u2ws8ka9t7k,aust-ust,4440149151,4440149000,151
terra16w0xwml6yn2af38kg92q4jtz53k4yakygj06gn,bluna-luna,17152737,17152000,737
terra1xa20lghl2z5qdqfjd62hjrjx75p769mda94p4c,loop-ust,7951154,7951000,154
terra19hllgwg37rc8d2aj9aqzu0fevlngra73r2gdns,loop-ust,9490730,9490000,730
terra12lzg85snj2crrftgrekc7raddf24zwvl0mfumu,loopr-ust,22858916,22858000,916
terra14aqddykks6c8j0lfkk00n2xe4mf65dsssncutc,wewbtc-ust,962304,962000,304
terra1ugzs6yy0r4248p0heezcvsxgj2vx2wnkp5nqqh,stt-ust,287804827,287804000,827
terra10suvv0dm67qlm9kn2mzfdsegvdvqt47xfkjtjd,loop-ust,31475861,31475000,861
terra1z4k70tamcc07w52rqsc88gj3p8zct632frrwvj,loop-ust,8373275,8373000,275
terra1nps9aq9h645fqylr0lsu0cz0uj0j3mudch5j64,mine-ust,338517696,338517000,696
terra1dxsl7hpjnsgxv2acmf85e4scmpa60ewa6uuqnj,loop-ust,4695974,4695000,974
terra1tmwhjse9kxl9msmsph90njrhehvmwjv43trjgd,loop-ust,9438811,9438000,811
terra1ykdzt6cadx5f8jw2fuedxtfe7ztkn0mmk2l4sp,loop-loopr,2215342560,2215342000,560
terra140d68h05dh27qg668t9cg4e4sdltnwgxa7tp2e,mir-ust,114698248,114698000,248
terra1lmu7k7hhy5rjtp4g5pptm3896uczjstu86t2zp,luna-aust,364507299,104247000,260260299
terra1qr8x0p79r4t3mgqg2huqvrveu070vlydv2e6p4,loop-ust,22836140,22836000,140
terra1j5e5mqu0a8pcsnn22chettt9wjvmqqxmyjmh06,loop-loopr,449775627007,374236538000,75539089007
terra17yqs6je0n468xjy5zhdthcm4y53sha620hptt2,loop-ust,40066404,40066000,404
terra18fvpvng237axwgqmssddn787rlghfd3xqnd7wq,mir-ust,140495996,140495000,996
terra1emm8e4l5d0y8tya57rfnuwvr6mj2z342ttx54x,loop-ust,7199518,7199000,518
terra1qsx8m6vfet4scevezwgcs7jdctavjdx9k8rmj3,loop-halo,165432344,165432000,344
terra1ywcw0pj4sz7ltnqzagl675cmlq5a9fntjnskzj,loop-ust,10635522,10635000,522
terra16jpyc4sc62tq7j6xekpmsm85r6sctxdkzyy5x9,loopr-ust,107413534,107413000,534
terra1lzjz0pzdxr7g99lf2gkw93peq6e76r7yqxmr0n,loopr-ust,73675966,73675000,966
terra1qfvwrsm0pl66yql52sggrwmkn8gzhuagweeckr,loop-loopr,740502521,740502000,521
terra1rcsktvs9esl25r87tmpjp3rvgv3fxgh9ccd7l4,loop-ust,35628199,35628000,199
terra18q6rud5uv3qep3373n0mynxe3400w408wck7f0,loopr-ust,15245648919,15245648000,919
terra1damjxgxtr98mwra48kh5ku8xgyzu2wtywd24pu,loop-ust,324461344,324461000,344
terra1ynsl8emrgs53z6gaeqkp8g8s9d0nnc0yv9zkew,loop-ust,15882435,15882000,435
terra1gukw2cz5vdrl9yqugxwfv8vjpymffy6sp4qd8y,lota-ust,369741515,369741000,515
terra18jcmysuqckhxljsufzcysz723svaxm70fqmce7,loop-loopr,3989724647,2997809000,991915647
terra13lhenxzg8gpmrt0rctkgje8hz78sv2pdzzlp0n,luna-aust,229634503,198457000,31177503
terra10amcnaghwfjx8jmmkfm9a2gj6ce20fx4qhtynd,loop-ust,2227437,2227000,437
terra1t6t2m75d6ej3jng2560aj95z4sqqt7cnna8wf7,spec-ust,6311713525,6311713000,525
terra1lel06xrhlarsj8czuccw6et9qrk0mgk9twa3j2,loopr-ust,4998858374,4998858000,374
terra1jup2whg9wd3kymycsmjek7vfy6kmerce3fpvud,loopr-ust,67968166,67968000,166
terra13quc2xph3k8f8skynnqlj8z9kvgprzglpm4wuu,loop-ust,8796775,8796000,775
terra1gxxudeehpl7dj5rwsue2rpdzqgvrkjwayfxr0u,stt-ust,16563970,16563000,970
terra1x9pscdctgqylg6g8epp7n8san52u3gftlq664r,loop-ust,53414960,53414000,960
terra1u8e8v0nst9qdr76dxweefuz854l6zm6yh9sp0l,loop-ust,220123965,220123000,965
terra1xxh64wt4t9t2xwsrryd7kxz546urwrnqa52dsm,loop-ust,25025135870,25025135000,870
terra1shjp7grrk8dpwpj23m6gwcgppcutku56lxec00,loop-ust,4643266,4600000,43266
terra1x760gazyvekyg9kyshufemdlmw949dv4yn7g6l,loop-ust,9216042,9216000,42
terra1sqf5rvehqm97ft8vvp95wj3y3cjn3vzdy6qlaw,loop-anc,39372782,39372000,782
terra1gkaymut0x0lmlz7t0m7nwxrkpd2gncu8q5sc6j,loop-ust,1922819,1922000,819
terra1sn4xzc9c4mjl38e9ledkzp09sl6snf53mzrnrq,mir-ust,405438971,405438000,971
terra1gpj90ne86wzyq80qrwq8pg37g2nnm3cjzzxm2c,loop-ust,8031859,8031000,859
terra1zev470vlwdfup3syyu7jn2r0dxkcd8f6q94te9,loop-ust,542259766,542259000,766
terra1jku4966n7z6f3w5rm8pf7z6f0u6u4t7wnm7d7q,loop-ust,16787158,16787000,158
