MINT,MINT_PRICE
AyeebUgESscB3MkJUXqruTyWcKNhRcMG5AP3jjxFQzKh,0.50847032
6Qs5ur1gTR9y6phBTxdLQexvvcKcoCdrEgEtcNWHS1Go,1.00847032
HfvCcADwabs8WbwTfYVyqbdJ6BnXxxFZ3uRDqkVsdzGn,0.04272032
8ezsw4A7trKXY9MYogYRLJrwyqS5ZsvQgQgd2AqdiVKm,2.50847032
BxHg22Ez6JmnaUyZcAkkyDMAX1o1UKfNBBx5akQwCKea,0.50847032
AerHjqs67oVUN9kZkGeRKZpdTA46EZuNWRA7aeLMA6as,0.06222032
GbCEGStceHPLnDHJu6HC8av1Ygtr5PR5Y8YtpRvGzkQU,0.01347032
EgL4hJi6o5s9YC6a2oWqGxeUvji9vMyq9MUJ16jMmCkW,1.00847032
2nXgWEiAk78B1H1jJr3E8qjk5huHoYFN7HSdu4guHscu,1.99847032
2oDzTkPnnHjxJhgDvv6xhzTgu9F1TsrXBxJ5LNjeGCkW,0.02322032
4FB7DHLYYd1w1yg16wQY3jQz3Vk6cu8Jzg3dzgjXGsjK,0.70847032
BXjwhTEdzN3FNPGW3ahg62Wp8veaZ3U8rb6Cy2sPkXEV,0.00847032
7YtVP8yjqh6iNMwndYEjREWKnewqN3XDLTKoP3MxJYZr,0.01347032
8tsC6SCiJp9WDChGHFADNSSoWdEj9XVriNHZMiwCzG2f,0.77847032
9h33myzGCggHE11h9hcXoYiWWJ7Ub9FiMVw3MV2m11yG,0.05734532
5UGyiotWDZfyZQZsNt3ffbaDXfcDQhoRdgfJHLxFho2v,1.50847032
6sSDHdbDC8uCdjtBHVzk69VFpfiqSbn92xaqmZwSVULF,0.30597032
CWhjGVcovirdtYcHW65SK99yUcnJvKEEQsqTMoeBrjYq,0.02809532
FBUvpGrwvPH6o1tfF2DbVJwyKurGmrV19AbNk7kz8iii,0.01347032
8UJSAkWbr8xtzbH1vvYnAX2zzDdBntodBfNNWb7pTkBb,2.50847032
Fu7p2NcW31WxzdyepgAKpgfh4Gu6dJu3KGAxAb4op8KB,0.10847032
Cm7xSsZt5ZWHbN9E7GJXFntEi1sCghx7xt9WVZQevokh,0.00847032
8E4XRgyiqynkvKqcj6zkqfxa1jNVcT3rKLhQwF1eEkq7,0.75847032
6z8LXLi9jLSxboXta8AAq6FFYq9i41cinnA28bgjEp3G,0.07197032
4jqSb83n6epmpHt7zkFDb5J9KrEEHzLPTBP7bhPqfaaZ,1.00847032
HjmcQhAwfDUTnmCJ64VUn4ju3CfYM7a8zcMXWvF8HVjj,0.06222032
C71jzJthtkvzZPBQ1FurF59t7yo2Dkd93yz6AMaJ8Q1s,1.00847032
BBSaeBijSYZ7JqrH6LATduGWaD5LgcAyE6p9p1bUUUrf,0.70847032
AXbV8D7B7uiRefYaik3dsfjkBNzvn5ih2RZrTGbygdgo,0.10847032
CYx1hTysh4WEbTM2jNBDmsEtAhk9cazfuzxRkULudPKp,0.30847032
GhdccR3j7MTj7qMN4amSf5y9HAFUzA7319W91CU8i3jF,0.27847032
GdmgcGsoVhJediKKSP9eKGbvi5XMgK8U2zvnccvHhG5r,1.00847032
8qwE14Rwyf3GfACjKh3seZcR2gCZ26MqjJUUYRnzPLzo,0.44847032
529fDydxvLpZ3BRBajqqJC9gZz1eXZB7BEDvD5j1VQ5d,1.00847032
EN92FnV55upzse8M6Ndadc3X4BPKTn7NGLs8yR7jk9o3,0.01347032
5716war9A4a3oEwuiGVFQyjJtAVrdXjrDNBh7tDH1Bd2,0.02322032
617cFcuwZAWMA4Sga94KD6nqyrJTFbwBTv791SJnKRw7,1.00847032
7iiJinZHU1mH2rBNbhWsFXcfZprrz5TMLf1p1zvPdxLy,2.00847032
8Bhz3MbyHgpPptgmpjZ6UuSC2C7G4kCSSbJJbAc29rYW,0.50847032
5otbt6pJVWjSp2cj5AseZhNNjjBmnW6jd4Raz6buVeEw,0.08172032
BaZQnrki41GnPbsFG5g1EqoTQB6AzHWFy7QCECsjPAd1,0.06222032
6QcBNu1ZoM8afZPbPHKtymRJTVBg6xqFEhpa6jtbBhGm,1.00847032
9cN2FMci5PKpdhXEC93mpUpjbjEMgB8nqKFnx6fvQRbQ,0.03297032
9PNwJwLFSiPVdGDwbLSmHgi1oWG8sHF62WEAKenn4mLb,0.03297032
Bm4RMF9TMA731URnTeSgoWusK7bYFiYXhtKSXLAjfRSA,0.06222032
FhePzkqZPL1KQbB5YDa8Pr5eVvTezNASEyzxevE2SQn8,0.03297032
3Qd2WsDDwN18wK8gTCNW2zyKznxZ62YViRmZFhQsSDvM,0.05734532
HJzkoVQE4eCEJhYq19hsgSDKvcMYT64CygveymzSZuFc,0.10847032
2rsGvwAB2Pud9pFS6jqx48HBVx98gWDAiK6kZFYSBFeH,5.00847032
8QQZvqAYKUadrPpbobMECUNrZfUjpqZbZ2a5z7iskucE,0.00857032
4aALhPWEqjt5aCLKg1RqYVx89rTBnCmVZuyPnFMTZAxo,0.01847032
BuSDArCD3c6Z6BZAybE3u7oXRSqXhnRaDXE9xiU4aegj,1.44847032
5APuSKiVujV83nBtDCVCnpDhmZwJqggYyDMH9qkMi1QD,0.01847032
AgEcFX7RCFfqsEJaEzgs6VyNLZso1eGgUJmMa6rxmBpX,1.00847032
4xLXwJzB3UYJeoBs5Bp97djvCLqKTyqAAw61byGWdg3r,0.01347032
47r5fvL9DQAhZphsujc5bRTyQFAuo7WDH9Pk5uCHFZAm,0.55847032
GMbVnbgRQXGfSyVYipZCKBZwM5uBDe9eaTP3ToN4aY2w,0.80847032
AeVKotq1ubMfkv149a8Vbpypec6ArU5DUasMDdbBpn1T,0.01747032
5qaEtqYfmGGRsToz6sDNodBu6QuP4Lkb9MJBihweQitC,0.10847032
2xnbdAFGfhyUeCqSvjUWp41hhWnRoPxonMwUvMzCQLxz,0.18847032
8F4wC8bZM7Xsvq8actj73awgG1LLEAWJ79zqvAZFQ2ES,0.25847032
ErDFCrpocwCeCirKnAdB68uFTqvFFmFmxPRFtvaAtn8i,0.40847032
7cquCm2Yu23JpYZndPyT8rqaHYpNiskJu1WbJyA2AXa7,0.06222032
55G5jkgUxY6PvoHHwdeuqWe2KW3xAXDN5Bt2wsp2Y4LV,0.03847032
24D6KMtvDtNkFzakBJ6ExUF2m5qwRoPpMeAqNjNkJfGe,0.55847032
EmBpxYmQnxTj2ShDLhcwV8RySzoJoKTszKjDrMjcTRdB,0.50847032
77HSVtnDt6QVeBUM7E1yzNRrMgHkj3sRFVBHeAhKuVNt,0.00847032
3rkaDNbsiqzPHFLERDixz1Quaq1BvfygjnAdoMuPpLUV,0.08617032
DoVRCyWNqqZPBqWMwEemqu4AL4bc1pKx3JXxUawPuvrg,0.50847032
GDV5MNjhWCrMr3XrWVsHFaNdJFz8mLBivjRScmJBDpru,0.01347032
