mint,capped
Q2mZYYV83rakDVN4sHoaWu4AjLUs3oVyyjyGFK3CR3G,TRUE
Gi33fLYiz7wYq9cq6qLkgDQ3Lg8yXGZa9pmRdEEUPJTU,TRUE
2pN1BfiE6CUfn3QXrbtMJMiJ5rdTL4RgGL5Ktz4h57HY,TRUE
7MyeyNruniXwrndhcn7WAG1DPG3DNuj4vBrbWUhHoxLA,TRUE
J15qFYFde72b7XYAdmRoKUMSBtvF6Y1shXuMiwt1yfcW,TRUE
6qqYYENKJrTfDArLGXojPuA82hSHQRzKBuoKSVucD2m8,TRUE
6oAf39UcmWsGft8G4czJwQaopq7aH3JwsUWZup7JW44y,TRUE
AQ6f2AsP9mKnDGDvUndBy9BNJJcWcud3ocJ4wkwH4VBR,TRUE
F44BWxtuHbectS85LNSK2mCjHjk1rSw7P3zF3g49s4qs,TRUE
A7sheKixdNh3FY3E9BybU99ESu55QVFbRZCA2LHNHSD4,TRUE
GnYpaLSRXnDU1gZ6oW38qBuDtvRJ4WUj7TZw7rQ6nZMX,TRUE
4pMBarPZdwZaWVu8uyMgWQj52DNu1iv7aS4uJVixJKnX,TRUE
GxES4AfXQpmkvdJqukaqtmRwTBNntzfDCc6HxJGU5Gbj,TRUE
8ckyRa9uUFxZ4Rb8BQQizi6TbJde2i23WoSWVXf7koUx,TRUE
EP14m846LfwbKi8cLZsuNdeBAV1GLDiR3HEZEZE8cZCs,TRUE
