MINT,MINT_PRICE
ARpeUS83c4UmABzrxiDydGCBAKHa3VdWgdAyZJNiGtq9,10
DvNKhE8ifYBASfZRcePjXkdasCEFEnMTTgdRserQwy7F,0.01347032
CfDRvBrv31sCkwD8dbyoA6rNSCSnKGmyWF5zmyPZVasj,0.06222032
6CPnudNjPKVTuCKXHAsjKetnptTcVtmzJrrAJkaBcR3m,0.01847032
pZshvDzSWqLn7mct72NHXq8A6ToYR7NKmeVS5Aae1tj,0.01847032
AJGAwr27RHX3xiEt6oi1Y98Y9cezKZFHb7ZYTTB193mD,0.70847032
5NDkfWr7DAdGTfCSt6minMAprHDjbd8vKKWxXm4q35ai,0.30847032
R7XoroPBW1gfevvGmpRUb7vXmUGGzHz82wQ97AwbPxQ,0.00847032
7jPLwoTAQLHkqP3VgnhQonEBu6hWBQ1zYUApBpzsUiE3,0.01347032
D2VBE7EWxj7Js9GYcdEhZrFJpSDvoz1LytspFSmQM5pK,0.44847032
3i6xYHp4LrBDjx6rzn52Vr5VGNf8112WenXoMLPzgeMM,0.50847032
AE6ZxsrwqWmuQsk5eReBGEBUtsXhZr4zt2fCZdzbfPAU,0.11097032
3GpMrouiWT6kLTkcPw1t8WsUvQRymsGW2kbw4w2N7Zcj,1.50847032
HBnGaLNaAWmXAZDoNKbZMCCT9ePzFpnLS7ABhAkk3FCp,0.30847032
Gmm8UNsc8TfEw1Y754YRGogoNpVAXW9HG7hXaxfwqxDn,0.06222032
DzQSU265KTGS7EjGm3YwjZZX5VWTsdx34ywD8C97peaE,0.00847032
FL1y8QNeA3VWvXNtc3p5TbzVVJkP7f7DU2cgjC23hgy4,0.17789032
Gbe9JHxaWc1Qx1SDgRofDJKjei75aSfiL6sZXjgemA6L,0.55847032
A2ZF94LdNM8bYdGgrFSREuuKy9tgyugQ1dP8XBza1W7Y,2.00847032
C9VaCWDyBdoGvMPCmV7QePYAdHkz5xxKdWNZHF7hA6kr,0.01347032
6oPc7SHCWeHVN3pAz344fUmUB6egTBSJFRtj9ytcVFNP,0.72847032
3k7tYEuEKkwpcd7eXgrs8BaBAUEZ7o5iF8ATrsvh4mdt,0.00847032
Exq9zYVkwubJBWkNsJ6Z14mimcpjiq9HRnxu4ymx5onn,0.55847032
2uiLM1eHcFuXVhe2TMMRdhiDGiGLrCK9hLMA7Xh8qSoc,0.00561672
9nCP7QnPSPFdQf4hJbvvC6C9zLnNSYJEX5qqLjvkoLy7,1.00847032
2Xq35Tk7g7mFxqKFXZsDYqxHEe4Tu5Rckv8TZRY8dQPQ,0.01347032
5MbtkHuSy3UZbPFS7Uq7M4cQxNSWEiwUNXs18DXE8vXA,0.11097032
GiaVUPJ5rHtYVhMpXtYJdYriwHhZCDJgyGCj4erYZTk4,0.06222032
7PVhHeknyJ4s9sKX7eGN12LQVscDzreMZunZmPuDSLvH,0.50847032
65mJkj7h7ACxAUagaSW6YQjGgpRHUcr5Qi6tuWSL7xVS,0.10847032
HBEvme779TLQUCQX3oVNZDqobSAJyuKvj7oQ99wJ4rZv,0.99847032
EXoX5U3Vu3RuicQ3FTxfzDKN3P6Q5FmdijCu4zLyV9Rf,0.06222032
DZA1hki4VskGNiVewXPTGAFthtdcNn5CFGnwCyryVvGV,0.01347032
78FHj8qHAHQJ9JNQBbJcCHWhYCh6vqhzfqCN6S2oZnF4,0.25847032
6iahxoPS6bNf5MiMkpHAivTjt9q1X98fsFxLrv5DXs9P,0.01347032
xKu7mKBaTCs4AyWFjzB5oCJtt9YdWjtjpKXb1kqxfNz,0.10122032
9yRcyBtj84q6BNhcXaSVMeT8svKWcV4Xcty3UZjdLMSM,0.06222032
CQk3gKkpe9nUM5LYDsam9CaaQMA85eovMhFwRmh2Zzce,0.38847032
74wtyuqN4D3QvensZgmT5mbWaGthDGTXWd1SiybzgBQB,0.00847032
EqobTos8eDZifK9rXQkT7DWBofZ9L45nM17h7ZwLfwWq,1.00847032
Lv7Fh7voyk1BxNAonEp2J39QuaxM8nMNkTqzan9QAYa,0.70847032
HWNgLRoLYHtJPM4dy4NF9rh9CRSUqnNrupvMdKokqNXJ,2.00847032
HH3S29VtnKk8ptCPL4xedeGDJSUgLoUfxJDfEyAZCE2F,0.11847032
EYvvPw8wKtETQpgP9Qt86DRP8uGD6WzvHgUicH1ZgWAH,0.67447032
9EyXCcR3cSMw5zJZ4AcyNrpdYJbx72cqj7Xys4Ru5HR4,0.02322032
HVuonkcVpNgHrMr2B58kiNqKG6ychDEytFAYpHPZFoK4,0.04272032
8Gm9JkvqbsywHoj9SgXP7HPER4Gm5qu4ep31nSuywvf,0.55847032
C68Yy7GWnqUkaH6WjHgGfkqjfFKSkk82wBMc91sjiLoD,2.00847032
4V7h2ye6zgShqg4uRWLxic8GqnpA2hFFcLo2TpggUoqw,0.50847032
2FAPTV2Ec9YLxm2Vafwdn1Y8zfM3XDue5FuKNtoEahtB,0.02322032
AjCe11YdYCzpiFthRdsUw7tRKQ3AuBmAN1Nwt5odSGM6,0.00847032
6PXozsceiSxaUMcKG5ND1u7LdxQ9mMFcFH152snZxdke,0.11847032
245o9GgWiFC6ot1MWUGTWeozSA8nkCYGyyiEcEKCGYcW,0.50847032
1dxcWqAFnfTKBnQwRoggSHS8PgfNiMUQ2PGvidcKVba,0.18897032
AYVX8zvQN4Tv4ZnLHbLEqh78oNNJoE3zsYszbrRnmpur,0.20847032
