MINT,MINT_PRICE
HWrKNZdzpM9oE2RnLRSvNYoLP3fskaS5ggLbKLGmz3Cx,2.00847032
AthvnNZJ69tqVRCEvShYhWXGxr7mVnt5oVMtgmT2i6mv,0.00857032
Hu3ndKiR2V9oESBhTZiaz7VDVjAx4hnUQhNKADqodyBS,0.50847032
XscfQArz6ZJhrUoa3P83yKVgnW8QTJMDCmSdhpKCtRC,0.01347032
49TdqzKRqrskxTcqFn6MdtRPc6MAo7S8guxUxskCkTr1,0.07847032
Ew79WnJXZrPGRvAm9V93b3au5CLFsw8VLckFXuLeTJQ4,1.50847032
8uq6TfMGgUBNbvu9aWT876uC9T5sDT9NjXs87MdLwihV,0.33847032
BBy8iT8Lw1vVncjgdu8yKjQFi6kQacX66aPDeRji51Bf,0.00847032
SgqxfXuX7GimDdgy6U81hTNUVM12B3eVt2b4kxHiiaB,1.50847032
2ppCvmUecjPRyuwvsshm6jP3BE1DiV8gqGFeDj12WBkG,1.87847032
4awMN1TX94Vw4GikphXmEhJLMnK2ZozM774hGCwSdTs4,0.05847032
6iFvsPS9386rr9gqg6uiko2zG6TLWz2rX5DwWrtL3s5o,0.00847032
678hnHyHctfFc1dc27K3q7NvQ9EgoWypdV6ai3AG5vQH,0.38847032
2Rgoeh3q6yM7zjT1CY1QUAi4pSwxHZzVyHYbKinbibD6,0.05247032
5aL5NhDJK62HZ9wpsVN51jwF2wjcN6eUxAxak4YjFi7m,5.50847032
GMCJbRnphcWFHezgxrupkc7TBxpjsTkuKZbW9zrvfkAh,0.07747032
7uMWyp72Cv6GHRPgVhUJHLD6vFZgWmmWAYuwpRggR8Dr,0.00847032
9EBoJT6jYRY4YTEEvCgRxdxXHUieXr9fBSJt3DsQeRA3,0.01347032
Cjv2mJvxD8RuMpgYPvkbF88fg24dWBqQ5ceied4Conpy,0.00847032
FAPCUAKE3ChN1zcN1LB2bVkCPAYXeBpWFZzxws51jJYy,0.01347032
Av9XraYdKVg9JACa7ce4opgFwyZy4a9PVWcaRagemwpQ,1.50847032
GpKQioJuDmQoE9HtGoXLaqs61smLZ31hn3vKQfq6G4Hj,0.00847032
8gLW5k27WJzVGYpB3SqfQS6JcC81hSFvzSJiNBFTfrP9,7.00847032
5yL3fG5aPNGCYiRiMrb21rdgeWEZp8LRu81JWqB1RnnZ,0.11847032
5RwPuTwfP9FWqsAHVbHSDk5bo81kQKAypNs3J5X2TK9z,0.09147032
7B2cbVpZFPFv1pDypxCnkkgK7LjCouEFqDdt2ctsczef,0.00847032
BE1SVP1TfpGvuRUqadk8wWp9FyZazTjgzaa8yKH49uk5,0.00847032
9i7L99MuNN4QWtTMvDkyX7dx4ZXbkvjsL8DJtk82MeGT,1.00847032
7GouUNorJEs498xj4Cou2vUzycZTsJ6HEZmNX4LPSnhZ,0.01247032
9MTW5aAE6QrRyc4QcTzYsLi7UiH7ih5ZqX3VbHMue3K9,0.22847032
Gk8AK4uKnz5Ps3CRSZJ7Gz52CYxP8QSDoyPoTSFCVAw1,0.40847032
5Gcj9c4unHyiY2Aktg1eR6MTrHKr1B1hbzcN2MZVFe4T,0.03492032
JDUFN6hjtyoqMUs2HmmjUjX2DjMUudh1uqFnTUhq5ivh,1.50847032
BfSjCirerWRp8D8TJwNtwGafxT4VdWE9Fc9CtvdSkrrm,5.00847032
ABjjr18ozXArxXe3ReKmomr2Mi7L4Uq1TeUQUHBMEVHK,0.05052032
ANcdMVwbgRSZV1x7dRyZjaq5NM6P2Eoc7EacUkGjM6Fg,0.11097032
FSqL741UHJDkikCRmhLZuFk33jLpsMAQRpJGSm1UNZxV,0.07197032
7tuZnxEjKSdCmDtEpMtc8TWYgnPjoZvGNJJCC1Bj5NtB,0.14022032
DFDmDRwhJuxAk8fzGSZyxMFLKwL6zpZWx8mpLqaXYrPW,0.50847032
AkMmLB3qLx36S9a83nd54246KQ5W6Azh1o4bLwFZhFVa,0.01847032
79BMH84ZyDFuRJ3yzEodvaZcqqtrAaSQVZLioStoqmuJ,0.44847032
H2qby21QVxE27RsPrX3hbRejgaHMdSJmHfNrrhePo9G7,0.00847032
5h4Cs9r9GovmWvMSFrkB9PzW6CdVzTQvnWEKvXKLWN64,0.35847032
XM37rDR23RNi4237EMCLvxhXLXgbCfMawNZCVTcLvT4,0.00847032
H2qby21QVxE27RsPrX3hbRejgaHMdSJmHfNrrhePo9G7,1000
3A4v9aVxuqgahX4RL1K1sMqvpVWMUCD4vtB3YJ7VqpRk,0.45847032
8FCjnKQJMszJ8PGvDTDRHk9gSmEPfs2Y1SkK2ziFLfkY,1.50847032
2su8Xe8ndftk4Zwhcbtrgc22cNUB8sqUsN1xRyxmckbB,0.01847032
mRQvCkXUTbJJYufNT5UQRrxN5nK4VLbhF2wJyMVLddB,0.40847032
AGieYFkHYCJrKqvF1DVWgA8a3X8ahQjgFZxDTCGHNego,0.50847032
BJZEwaAVp1gMiqw3YC65oRxUfHEyGbTQca8E2dHtT5Xd,1.50847032
94hPUufu5XTC9Y9TxJiRawEGt6vgwBKyyf9tU8mkULKB,0.16847032
DkMZHHSfsnZqgx5iRQLoHVPD7q8EdUN5nTmzHaQ5uJu6,0.11097032
2DPHRUvJux2yLw8gCGSqEV8ZmeKBgPqztujKX7tQPPUJ,0.05847032
FiW4NT9WcHTNRiCPcVujThEgXu6UU1Tz5tcVQGAa89z1,0.02322032
4abZaSQ2PyUyG4ZK3hyF8KrHkhyF9PksBpsXuyZDYzvh,2.00847032
GGwaZPm2acbCjZ2BSCFavSBCFZ3ngRvTtFKuTE1SkTi,0.02322032
2pCirkZVG81LHoTwpDU4A31MNvDn3raFKKq31AxoQTeX,0.75847032
Afmxcekd1g5GgUaGh8wkJJX6pUDazfEiJzsu8EPPHSrQ,0.55847032
BiTxxaP517u9jF8KHF8FngMZuj8oHuxHAmHTcEmfamik,0.08172032
5bJ9auzb53yfK9w5L2fMoakVTDrEHaowGd7P7oRvsart,0.06709532
4rzEsE4iP4mVRqNjK63J6NzUfkYcwEh1roQ13JWWvFrs,0.07747032
DPxa2oEYeWt2GTGNSb2zJ2SModnpgpVubuWqbvAnbQhw,0.06222032
DtKzEfagJ7gq7iAszUcTMUrj3sAn2XsCfzhusg35zypB,0.50847032
4h2gKN9JDzq1jeUvBxiT6ZtT4pgV1WAairA7mQwiMTTp,0.04272032
DEGVvwzKUgbKg8CCxtmBHLTMmUWLDRajmyGEBZeNCfQD,1.00847032
JCvx9PaYkpWToARAhdv3Ppd66uM4bWApaaGAR1YQ13wi,0.30847032
72L9DpZixMUcLTiJG8PA2yEmZb15ZXAzVAExLUwb2DeS,0.46447032
9cYnPiSqghLtcujm8VZ4pJCKujW9umg1m1kURZBTw7VR,1.00847032
7SdVQQbJPfk6gWP9cJErjpDKXL2KwpnxQo3MCYWjNS8Y,0.20847032
CyhywM4nkh16bY2m7J171b4RLKwQEP4AoFSJ4n2Xbygz,0.07197032
28naRmPYumR7NBqwgoEhyepnj2x7hTDeFqegdwbn32rE,0.06222032
4A3UsPJADdPottJqNbACDbkbYvNwjGkJmPmmGEqGw9Uu,0.01347032
Hx5qpYWjwQUSaDw7TMDToZs2YeENX1vMZm5LTJEfxrxH,0.12847032
E14WD54RdGWjxZHCtvcTgS5p1R9AwrXzBVcf8TkebHp9,0.45847032
2Sv3bfVNqcQeQCNfpoWmzZuTz2oWABDLb2fJL3i6xuDr,2.50847032
687w28384EDSabhGc9pTJJD7HCB3Jqpc1bBM1W8agnPq,0.04272032
Fd9x8DLLL39c8i99oNbCczTc3zTDyxbZjNUsciJYpHdw,1.50847032
GmKQC1zRpYg5sYKvdYFS3NhZFuZBsRXyaX5ojK1FCps4,0.33847032
F7dZdMNYvmtRrBDxVHcsAZ4XEbMXK9RY55fiMo5GTzxE,0.01347032
8u1tvK5rBhbjhtALfKbmS8xD8gRLnWShKa4HU4HGKzSo,0.05847032
4kqpYGKCgzkG6YvceyYPDfvtN4xGoGfMo7yrnFdqmier,0.05847032
29vUnjTFeTCjDXmCoPUnwtq7XHK6GTuJP2eEZMyiwcPy,0.05847032
7AMD8kcbtkX48a5UuXVzi7xKDNf3EkzpeipsVQpmxCwc,0.02322032
8d76P6eyuUXUynJAHpUbmg7BWMgGcGS3thfvgaCR1gMs,0.06222032
7WWR1TMmpHyhUwyDaareFJhNMZy7KvjRxauuscwj9Y3q,2.70847032
AbjRss6Vu5nNFHg7tF8Y8XXhVGLPBeKHG5Y1jbrRFn7m,0.03347032
4tybqSJeUNsjohvEY2QRJJiLLa4N7PD7ydF9tPVwMwEi,0.00847032
8WBPNd2RjG3tY53yvSQRU1t3u3TvVEUVFSFseTWHLMqo,0.01347032
Bzk8GTP7LfqdjMMBZZUMkecCMA4FPsTy9YFEgeyk8pHS,0.07197032
DtWSF12QvkmumvyBGZzZbaMwPdm67p5g1wBsqddGXa4v,0.00848032
GmvHWr6ohSqP2VXFZksUbRgwkhtJM2JtWR58En9xpsBM,0.00848032
4ZBxR1wcg3zcw9dsb3GSyUD5wXds4KbaSBZkUQbcKWZA,0.20847032
6g31yy4sjKdBY3hmJJjiHaySZQy92gprftnFu5wCh2NS,0.10747032
2JLj2njwdFst59BbACkgvspjBoPTsoB5nRgfbnRCjfgH,0.05734532
HRMdcNh95wo5CSPzCDneott5hnMmpS1Z5kFwj2yWz7wR,0.05847032
